"","County","County.Code","Delivery.Method","Delivery.Method.Code","Births","Longitude","Latitude"
"655","Strafford County NH",33017,"Vaginal",1,912,-71.0236044,43.238329
"656","Strafford County NH",33017,"Cesarean",2,365,-71.0236044,43.238329
"657","Unidentified Counties NH",33999,"Vaginal",1,2131,-71.5723953,43.1938516
"658","Unidentified Counties NH",33999,"Cesarean",2,792,-71.5723953,43.1938516
"659","Atlantic County NJ",34001,"Vaginal",1,1882,-74.6868815,39.5333379
"660","Atlantic County NJ",34001,"Cesarean",2,1269,-74.6868815,39.5333379
"661","Atlantic County NJ",34001,"Not Stated",9,22,-74.6868815,39.5333379
"662","Bergen County NJ",34003,"Vaginal",1,5323,-74.07701,40.9262762
"663","Bergen County NJ",34003,"Cesarean",2,3843,-74.07701,40.9262762
"664","Bergen County NJ",34003,"Not Stated",9,83,-74.07701,40.9262762
"665","Burlington County NJ",34005,"Vaginal",1,2641,-74.6868815,39.8558488
"666","Burlington County NJ",34005,"Cesarean",2,1766,-74.6868815,39.8558488
"667","Burlington County NJ",34005,"Not Stated",9,75,-74.6868815,39.8558488
"668","Camden County NJ",34007,"Vaginal",1,4133,-75.0143824,39.8592439
"669","Camden County NJ",34007,"Cesarean",2,2162,-75.0143824,39.8592439
"670","Camden County NJ",34007,"Not Stated",9,48,-75.0143824,39.8592439
"671","Cape May County NJ",34009,"Vaginal",1,484,-74.8273184,39.105884
"672","Cape May County NJ",34009,"Cesarean",2,343,-74.8273184,39.105884
"673","Cape May County NJ",34009,"Not Stated",9,14,-74.8273184,39.105884
"674","Cumberland County NJ",34011,"Vaginal",1,1214,-75.0611147,39.2587106
"675","Cumberland County NJ",34011,"Cesarean",2,725,-75.0611147,39.2587106
"676","Essex County NJ",34013,"Vaginal",1,6277,-74.2648829,40.7947466
"677","Essex County NJ",34013,"Cesarean",2,3921,-74.2648829,40.7947466
"678","Essex County NJ",34013,"Not Stated",9,62,-74.2648829,40.7947466
"679","Gloucester County NJ",34015,"Vaginal",1,1819,-75.1078332,39.7103023
"680","Gloucester County NJ",34015,"Cesarean",2,1157,-75.1078332,39.7103023
"681","Hudson County NJ",34017,"Vaginal",1,5783,-74.0535126,40.7453199
"682","Hudson County NJ",34017,"Cesarean",2,4362,-74.0535126,40.7453199
"683","Hudson County NJ",34017,"Not Stated",9,61,-74.0535126,40.7453199
"684","Hunterdon County NJ",34019,"Vaginal",1,561,-74.9208772,40.5669515
"685","Hunterdon County NJ",34019,"Cesarean",2,312,-74.9208772,40.5669515
"686","Mercer County NJ",34021,"Vaginal",1,2676,-74.7337069,40.3028533
"687","Mercer County NJ",34021,"Cesarean",2,1491,-74.7337069,40.3028533
"688","Mercer County NJ",34021,"Not Stated",9,17,-74.7337069,40.3028533
"689","Middlesex County NJ",34023,"Vaginal",1,5655,-74.3587473,40.4111363
"690","Middlesex County NJ",34023,"Cesarean",2,3572,-74.3587473,40.4111363
"691","Middlesex County NJ",34023,"Not Stated",9,69,-74.3587473,40.4111363
"692","Monmouth County NJ",34025,"Vaginal",1,3724,-74.123996,40.2589455
"693","Monmouth County NJ",34025,"Cesarean",2,2183,-74.123996,40.2589455
"694","Monmouth County NJ",34025,"Not Stated",9,127,-74.123996,40.2589455
"695","Morris County NJ",34027,"Vaginal",1,2710,-74.5463282,40.8336038
"696","Morris County NJ",34027,"Cesarean",2,1825,-74.5463282,40.8336038
"697","Morris County NJ",34027,"Not Stated",9,27,-74.5463282,40.8336038
"698","Ocean County NJ",34029,"Vaginal",1,5974,-74.3118212,39.9652553
"699","Ocean County NJ",34029,"Cesarean",2,1988,-74.3118212,39.9652553
"700","Ocean County NJ",34029,"Not Stated",9,47,-74.3118212,39.9652553
"701","Passaic County NJ",34031,"Vaginal",1,3770,-74.3587473,41.1231647
"702","Passaic County NJ",34031,"Cesarean",2,3128,-74.3587473,41.1231647
"703","Passaic County NJ",34031,"Not Stated",9,36,-74.3587473,41.1231647
"704","Somerset County NJ",34035,"Vaginal",1,2016,-74.6400432,40.5292099
"705","Somerset County NJ",34035,"Cesarean",2,1312,-74.6400432,40.5292099
"706","Somerset County NJ",34035,"Not Stated",9,19,-74.6400432,40.5292099
"707","Sussex County NJ",34037,"Vaginal",1,754,-74.6868815,41.1288481
